web_scraper_order,web_scraper_start_url,pagination,title,data,data2,data3,data4
"1776950156-158","https://almokhtabar.com/en/testspackages/","","RF (Qualitative)","EGP 575","screening of rheumatoid arthritis","575","Add to Cart"
"1776950156-159","https://almokhtabar.com/en/testspackages/","","Rh Grouping","EGP 195","Rh factor","195","Add to Cart"
"1776950156-160","https://almokhtabar.com/en/testspackages/","","ABO Grouping","EGP 305","blood type","305","Add to Cart"
"1776950156-161","https://almokhtabar.com/en/testspackages/","","Total Leucocytic Count (WBCs)","EGP 260","number of white blood cells and their derivatives","260","Add to Cart"
"1776950156-162","https://almokhtabar.com/en/testspackages/","","Haemoglobin (Hb) &Haematocrit HCT","EGP 220","analysis of the percentage of hemoglobin in the blood","220","Add to Cart"
"1776950156-163","https://almokhtabar.com/en/testspackages/","","AFP","EGP 660","screening and follow up of liver masses","660","Add to Cart"
"1776950156-164","https://almokhtabar.com/en/testspackages/","","CEA","EGP 565","general tumor markers","565","Add to Cart"
"1776950156-165","https://almokhtabar.com/en/testspackages/","","CA125","EGP 1030","indications of uterine and ovarian tumors and are also used to diagnose ovarian cysts","1030","Add to Cart"
"1776950156-166","https://almokhtabar.com/en/testspackages/","","Cyclosporine (Sandimmune) Trough","EGP 1105","follow up of the dose of treatment taken after liver transplantation","1105","Add to Cart"
"1776950156-167","https://almokhtabar.com/en/testspackages/","","Depakine (valproic Acid) Random","EGP 515","follow up the dose of treatment, cases of epilepsy","515","Add to Cart"
"1776950156-168","https://almokhtabar.com/en/testspackages/","","Depakine (valproic Acid) Peak","EGP 515","follow up the dose of treatment, cases of epilepsy","515","Add to Cart"
"1776950156-169","https://almokhtabar.com/en/testspackages/","","Depakine (Valproic Acid) Trough","EGP 515","follow up the dose of treatment, cases of epilepsy","515","Add to Cart"
"1776950156-170","https://almokhtabar.com/en/testspackages/","","Coomb's Test ""Indirect""","EGP 490","before blood transfusion","490","Add to Cart"
"1776950156-171","https://almokhtabar.com/en/testspackages/","","Anti Microsomal Antibody (TPO)","EGP 530","Thyroid antibody analysis","530","Add to Cart"
"1776950156-172","https://almokhtabar.com/en/testspackages/","","Anti Thyroid Peroxidase Ab","EGP 530","Thyroid antibody analysis","530","Add to Cart"
"1776950156-173","https://almokhtabar.com/en/testspackages/","","Rose-Waaler Test","EGP 535","Diagnostic analysis of rheumatoid arthritis are performed in cases of bone pain","535","Add to Cart"
"1776950156-174","https://almokhtabar.com/en/testspackages/","","Albumin","EGP 220","percentage of albumin in the blood is done in cases of patients with liver and kidney disease","220","Add to Cart"
"1776950156-175","https://almokhtabar.com/en/testspackages/","","Albumin in 24 hrs urine","EGP 305","24-hour albumin is used to diagnose kidney disease","305","Add to Cart"
"1776950156-176","https://almokhtabar.com/en/testspackages/","","Ammonia","EGP 605","Ammonia analysis in children when there are convulsions or some liver diseases","605","Add to Cart"
"1776950156-177","https://almokhtabar.com/en/testspackages/","","Bicarbonate (HCO3)","EGP 715","bicarbonate analysis is among the blood gas analysis used in the diagnosis of diseases of the kidneys and lungs","715","Add to Cart"
"1776950156-178","https://almokhtabar.com/en/testspackages/","","Bilirubin - total","EGP 185","one of the liver functions tests","185","Add to Cart"
"1776950156-179","https://almokhtabar.com/en/testspackages/","","Bilirubin - direct","EGP 185","one of the liver functions tests","185","Add to Cart"
"1776950156-180","https://almokhtabar.com/en/testspackages/","","CK-MB","EGP 325","enzyme of the heart that the extent of a heart attack","325","Add to Cart"
"1776950156-181","https://almokhtabar.com/en/testspackages/","","Estimated (eGFR)","EGP 300","determines the efficiency of the kidneys","300","Add to Cart"
"1776950156-182","https://almokhtabar.com/en/testspackages/","","Alcohol","EGP 645","determines the percentage of alcohol in the blood","645","Add to Cart"
"1776950156-183","https://almokhtabar.com/en/testspackages/","","Lactate in blood","EGP 1330","lactate analysis is used to diagnose hypoxia and in metabolic states","1330","Add to Cart"
"1776950156-184","https://almokhtabar.com/en/testspackages/","","Microalbuminurea (Random)","EGP 605","Microalbuminuria analysis of a random urine sample in diabetic and renal patients","605","Add to Cart"
"1776950156-185","https://almokhtabar.com/en/testspackages/","","ACTH pm  in plasma","EGP 560","one of the pituitary gland hormones used to diagnose its imbalance","560","Add to Cart"
"1776950156-186","https://almokhtabar.com/en/testspackages/","","Amyloid A","EGP 2400","an indicator of inflammation in the body and is among the tests used in the diagnosis of Mediterranean fever","2400","Add to Cart"
"1776950156-187","https://almokhtabar.com/en/testspackages/","","Anti Mullerian Hormone-Adult(AMH) in serum","EGP 1755","an analysis used to measure the stock of ova and determine the degree of fertility, used in cases of delayed pregnancy or women over 40 yrs.","1755","Add to Cart"
"1776950156-188","https://almokhtabar.com/en/testspackages/","","B2 Microglobulin in Serum","EGP 605","used to follow up on leukemia and myeloma and determine the severity of the disease","605","Add to Cart"
"1776950156-189","https://almokhtabar.com/en/testspackages/","","ionized Ca++","EGP 475","measuring the active form of calcium, routine check up or patients with osteoporosis or kidney impairement","475","Add to Cart"
"1776950156-190","https://almokhtabar.com/en/testspackages/","","Uric acid","EGP 200","used in cases of gout, renal affection, diabetes and routine check up","200","Add to Cart"
"1776950156-191","https://almokhtabar.com/en/testspackages/","","Cholesterol - Total","EGP 220","part of the lipid profile, used in check ups, diabetics, heart diseases","220","Add to Cart"
"1776950156-192","https://almokhtabar.com/en/testspackages/","","GH Growth Hormone  in serum  ( Basal )","EGP 625","a hormone from the pituitary gland that is made to diagnose gland dysfunction or monitor growth in children","625","Add to Cart"
"1776950156-193","https://almokhtabar.com/en/testspackages/","","Thrombophilia Gene Screen","EGP 6000","proteins are made in the case of repeated clots or recurrent miscarriages","6000","Add to Cart"
"1776950156-194","https://almokhtabar.com/en/testspackages/","","karyotyping","EGP 2000","a chromosomal analysis is done for soon-to-be married relatives and newborn children to determine whether or not there is a chromosomal abnormality","2000","Add to Cart"
"1776950156-195","https://almokhtabar.com/en/testspackages/","","Immunophenotyping :CD4","EGP 945","Immunoassay","945","Add to Cart"
